custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/total_reward,custom/avg_center_dev,custom/total_distance,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
0.02650602409638554,10.981413483243033,-0.1252576740958244,-5.386079986120449,0.8047787162943629,8.508897160179913,,,,,,,,,,
0.08333333333333333,14.776263652245893,0.07162187545512569,5.658128160954929,0.6613239007586664,21.352214094949886,,,,,,,,,,
0.06628242074927954,14.767842322250141,0.13594755255484017,11.419594414606575,0.470784272716588,22.672421255381778,,,,,,,,,,
,,,,,,191,62.91,3.9420781099999997,7545,120,39,,,,
0.5641025641025641,16.46795422784796,-0.05156864585486408,-3.867648439114806,1.0113725299021952,22.60320193064399,,,,,,,,,,
0.012315270935960592,8.044317835334788,-0.14730194362754873,-5.008266083336657,0.3577230773542944,4.949657395132817,,,,,,,,,,
0.1896551724137931,11.053871785172394,-0.0018381420479510588,-0.10293595468525929,0.6180752742206096,11.197301191743463,,,,,,,,,,
0.10416666666666667,19.110899769185785,0.18513532827387919,19.99461545357895,0.6152686048718438,37.88013569114264,,,,,,,,,,
,,,,,,197,63.19,3.90220616,7814,124,39,,,,
0.6724137931034483,18.846813388381435,0.12978997636803516,14.925847282324042,0.9026759536782548,39.853471039328724,,,,,,,,,,
0.03409090909090909,14.245550332072751,0.15455816254819327,8.655257102698823,0.26472952966587676,14.634395336033776,,,,,,,,,,
0.5909090909090909,15.975751121520377,0.07043088374112774,6.1979177692192415,0.8329952793202868,25.75511166243814,,,,,,,,,,
0.07281553398058252,18.840493459631546,0.21762394332676266,20.45665067271569,0.49926273974634544,32.53233049833216,,,,,,,,,,
,,,,,,205,64.14,4.397340590000001,8163,128,39,,,,
0.24444444444444444,12.210024907509712,-0.029260650244086788,-1.4337718619602526,0.7212429667475841,10.8296864842996,,,,,,,,,,
0.0436241610738255,12.743683537338269,0.15278933058418437,8.40341318213014,0.3001089681462015,12.755851791007444,,,,,,,,,,
0.6904761904761905,17.31336160795639,0.17054833018284524,16.202091367370297,0.49284113726967566,30.18578968127258,,,,,,,,,,
0.04914933837429111,17.352455197616173,0.21118893174254802,17.528681334631486,0.2389728820577266,26.337288085371256,,,,,,,,,,
,,,,,,212,64.86,4.80561673,8441,132,39,,,,
0.039647577092511016,10.660326584037959,-0.0634196781343233,-2.790465837910225,0.7448396842380078,8.504481812706217,,,,,,,,,,
0.04468085106382979,16.08002920621147,0.1753431268756603,12.800048261923202,0.6207419289539335,21.41888644755818,,,,,,,,,,
0.22727272727272727,10.472188993265831,-0.012664614132920592,-0.683889163177712,0.6885169382120652,10.290703610749915,,,,,,,,,,
0.06376811594202898,16.19664054292389,0.09199714914922685,7.083780484490468,0.5209942025866595,22.793259462807328,,,,,,,,,,
,,,,,,217,64.86,4.687144539999999,8685,136,39,,,,
0.3617021276595745,13.861592295217772,0.045955720287921394,3.1249889795786547,0.4803177888518789,17.12109443778172,,,,,,,,,,
0.5882352941176471,10.330314832068284,-0.00411409783202659,-0.23038947859348902,0.5962311855305066,10.506825181888416,,,,,,,,,,
0.11458333333333333,11.213728358539472,0.013989396235634555,0.7834061891955351,0.6167086978924635,11.396620927611366,,,,,,,,,,
0.029411764705882353,11.453508436285182,0.02410508687171591,1.4463052123029545,0.7022330986611041,12.734178608516231,,,,,,,,,,
,,,,,,223,64.99,4.716620710000001,8921,140,39,,,,
0.07142857142857142,9.044440411347912,-0.1142335555496381,-4.2266415553366095,0.43447330929162603,6.208565093111247,,,,,,,,,,
0.059322033898305086,9.48050520748011,-0.04770191864363549,-2.2896920948945034,0.5996187988039248,8.21241712779738,,,,,,,,,,
0.04365079365079365,11.490456795996806,-0.03491982875269833,-1.9555104101511063,0.8678354340506139,11.726084591122344,,,,,,,,,,
0.08163265306122448,12.203385503616614,0.0361165273088884,2.0225255292977504,0.6465031498267554,12.403546166140586,,,,,,,,,,
,,,,,,229,64.68,4.616504250000001,9114,144,39,,,,
0.23076923076923078,10.481327962654726,0.007584053107162494,0.3867867084652872,0.587180651307375,9.706383632263169,,,,,,,,,,
0.022508038585209004,9.648919854705566,-0.03458169133238751,-1.5907578012898256,0.5211491380923058,8.161435603862628,,,,,,,,,,
0.1896551724137931,12.629221884035926,0.047096820805928315,2.3077442194904876,0.6058654648921635,11.25161055359058,,,,,,,,,,
0.05491329479768786,14.2196186182306,0.20495582887937933,15.37168716595345,0.42854629899119717,19.47987001761794,,,,,,,,,,
,,,,,,235,63.97,4.474241760000001,9331,148,39,,,,
0.29310344827586204,13.961211645630877,0.11825623241898607,8.15968003691004,0.5582553283488686,17.540062529500574,,,,,,,,,,
0.03088803088803089,9.38660044681031,-0.05634528752615285,-2.8172643763076426,0.60530203514588,8.498967167921364,,,,,,,,,,
0.36363636363636365,12.301572526103508,0.14186945321014932,10.21460063113075,0.4854962893375155,16.172813907964155,,,,,,,,,,
0.036048064085447265,18.78005218780421,-0.011005652261847637,-0.8914578332096585,0.8999961035656509,27.813307288568467,,,,,,,,,,
,,,,,,241,63.43,4.062017389999999,9599,152,39,,,,
0.6444444444444445,17.94980664417524,0.09945279152775918,8.45348727985953,0.8396952173363087,27.975750430487096,,,,,,,,,,
0.06666666666666667,10.343489495306901,-0.0069504427107681946,-0.36837346367071433,0.407361460767459,9.965441656764597,,,,,,,,,,
0.40476190476190477,13.30066556708003,0.23733885166666888,15.901703061666815,0.2220523407887067,16.33458806318231,,,,,,,,,,
0.07272727272727272,8.870948215781013,-0.11889024569828928,-4.755609827931571,0.685287654062883,6.358965309569612,,,,,,,,,,
,,,,,,247,63.53,3.9499418599999996,9840,156,39,,,,
0.1277533039647577,17.306476335369208,-0.0074218416926237814,-0.6531220689508928,1.3040861131820731,27.967340885661542,,,,,,,,,,
0.03313840155945419,14.53057195727417,0.08815297232687193,5.90624914590042,0.56942659456456,17.757307428400964,,,,,,,,,,
0.2727272727272727,13.80190546370755,0.07688310621763372,3.9210384170993198,0.49803204665471057,12.771864902693778,,,,,,,,,,
0.011235955056179775,11.940926657946601,-0.1372633897598087,-4.25516508255407,0.5463313072906995,6.498348350869492,,,,,,,-0.186341996176634,1.6240072126686573,50,0.000490027416062651
,,,,,,254,62.83,3.6636003500000003,10073,160,39,,,,
0.10638297872340426,11.9827226472689,-0.1642248299308029,-4.598295238062481,0.580712774959495,5.915757916402072,,,,,,,-0.2453498658995765,1.4362690063814323,80,0.0004899977771991711
0.016216216216216217,9.777828700080036,-0.3270340148236673,-8.175850370591682,0.7322135364885338,4.174846134148538,,,,,,,-0.258889931909464,0.9375937509315985,107,0.00048997110299
0.03125,9.477126635796877,-0.31323822111384464,-8.14419374895996,0.6816442478960136,4.23508226982085,,,,,,,-0.15036965751399597,1.8092614822089672,131,0.000489947393192624
0.02127659574468085,13.384704309704334,0.004536882430657363,0.14518023778103561,0.41301956385418803,7.689231322612613,,,,,,,-0.18093906868249177,1.4269084936380387,156,0.0004899226960982991
,,,,,,259,61.73,3.4353487999999994,10180,164,39,,,,
0.05952380952380952,11.862361067368635,-0.11106945109739211,-3.4431529840191555,0.5042133043995185,6.499067466822453,,,,,,,-0.20356031212835543,1.3407666692810674,187,0.0004898920725676001
0.026392961876832845,15.279535774384998,-0.20557970014379418,-7.4008692051765905,0.7575168935754816,9.764093856792897,,,,,,,-0.20474849439924583,0.984818772226572,217,0.0004898624378058999
0.03571428571428571,17.301758755644205,-0.19569058344689264,-8.023313921322599,0.9238717035628905,12.646256140433252,,,,,,,-0.21367578985768237,1.0652235065187727,252,0.000489827865052475
